,Index,Time_since_1900,Time_Str
325,5112,1012416,2015-07-01-00h
326,5113,1012417,2015-07-01-01h
327,5114,1012418,2015-07-01-02h
328,5117,1012421,2015-07-01-05h
329,5118,1012422,2015-07-01-06h
330,5119,1012423,2015-07-01-07h
331,5120,1012424,2015-07-01-08h
332,5121,1012425,2015-07-01-09h
333,5122,1012426,2015-07-01-10h
334,5123,1012427,2015-07-01-11h
335,5124,1012428,2015-07-01-12h
336,5125,1012429,2015-07-01-13h
337,5126,1012430,2015-07-01-14h
338,5560,1012864,2015-07-19-16h
339,5561,1012865,2015-07-19-17h
340,5728,1013032,2015-07-26-16h
341,5729,1013033,2015-07-26-17h
342,5730,1013034,2015-07-26-18h
343,5731,1013035,2015-07-26-19h
344,5732,1013036,2015-07-26-20h
345,5733,1013037,2015-07-26-21h
346,5752,1013056,2015-07-27-16h
347,5753,1013057,2015-07-27-17h
348,5754,1013058,2015-07-27-18h
349,5775,1013079,2015-07-28-15h
350,5776,1013080,2015-07-28-16h
351,5777,1013081,2015-07-28-17h
352,5778,1013082,2015-07-28-18h
353,5779,1013083,2015-07-28-19h
354,6880,1020040,2016-05-13-16h
355,6881,1020041,2016-05-13-17h
356,6882,1020042,2016-05-13-18h
357,6883,1020043,2016-05-13-19h
358,6884,1020044,2016-05-13-20h
359,7307,1020467,2016-05-31-11h
360,7308,1020468,2016-05-31-12h
361,7309,1020469,2016-05-31-13h
362,7310,1020470,2016-05-31-14h
363,7311,1020471,2016-05-31-15h
364,7312,1020472,2016-05-31-16h
365,7313,1020473,2016-05-31-17h
366,7314,1020474,2016-05-31-18h
367,7315,1020475,2016-05-31-19h
368,7316,1020476,2016-05-31-20h
369,7317,1020477,2016-05-31-21h
370,7318,1020478,2016-05-31-22h
371,7319,1020479,2016-05-31-23h
372,7327,1020487,2016-06-01-07h
373,7328,1020488,2016-06-01-08h
374,7329,1020489,2016-06-01-09h
375,7330,1020490,2016-06-01-10h
376,7331,1020491,2016-06-01-11h
377,7332,1020492,2016-06-01-12h
378,7333,1020493,2016-06-01-13h
379,7334,1020494,2016-06-01-14h
380,7335,1020495,2016-06-01-15h
381,7336,1020496,2016-06-01-16h
382,7337,1020497,2016-06-01-17h
383,7338,1020498,2016-06-01-18h
384,7339,1020499,2016-06-01-19h
385,7340,1020500,2016-06-01-20h
386,7341,1020501,2016-06-01-21h
387,7342,1020502,2016-06-01-22h
388,7377,1020537,2016-06-03-09h
389,7378,1020538,2016-06-03-10h
390,7379,1020539,2016-06-03-11h
391,7380,1020540,2016-06-03-12h
392,7381,1020541,2016-06-03-13h
393,7382,1020542,2016-06-03-14h
394,7383,1020543,2016-06-03-15h
395,7384,1020544,2016-06-03-16h
396,7385,1020545,2016-06-03-17h
397,7386,1020546,2016-06-03-18h
398,7387,1020547,2016-06-03-19h
399,7649,1020809,2016-06-14-17h
400,7650,1020810,2016-06-14-18h
401,7651,1020811,2016-06-14-19h
402,7652,1020812,2016-06-14-20h
403,7747,1020907,2016-06-18-19h
404,7748,1020908,2016-06-18-20h
405,7749,1020909,2016-06-18-21h
406,7766,1020926,2016-06-19-14h
407,7767,1020927,2016-06-19-15h
408,7768,1020928,2016-06-19-16h
409,7769,1020929,2016-06-19-17h
410,7770,1020930,2016-06-19-18h
411,7771,1020931,2016-06-19-19h
412,7772,1020932,2016-06-19-20h
413,7773,1020933,2016-06-19-21h
414,7789,1020949,2016-06-20-13h
415,7790,1020950,2016-06-20-14h
416,7791,1020951,2016-06-20-15h
417,7792,1020952,2016-06-20-16h
418,7793,1020953,2016-06-20-17h
419,7794,1020954,2016-06-20-18h
420,7795,1020955,2016-06-20-19h
421,7796,1020956,2016-06-20-20h
422,7797,1020957,2016-06-20-21h
423,7798,1020958,2016-06-20-22h
424,7799,1020959,2016-06-20-23h
